GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ADQ001,ADZ001,AD9001,AEW001,AEW002,AEW003,AEW004,AEW005,AEW006,AE6001,AE6002,AE6003,ADR001,ADR002,ADS001,ADU001,ADV001,ADV002,ADX001,AD0001,AD0002,AD0003,AD1001,AD1002,AD1003,AD1004,AD1005,AD1006,AD4001,AD4002,AD4003,AD4004,AD5001,AD5002,AD6001,AD6002,AEM001,AEM002,AET001,AET002,AET003,AET004,AET005,AET006,AET007,AET008,AET009,AET010,AET011,AET012,AET013,AET014,AET015,AET016,AET017,AET018,AET019,AET020,AET021,AET022,AET023,AE0001,AE0002,AE0003,AE0004,AE0005,AE0006,AE0007,AE0008,AE0009,AE0010,AE0011,AE0012,AE0013,AE0014,AE0015,AE0016,AE0017,AE0018,AE0019,AE0020,AE0021,AE0022,AE0023,AE0024,AE0025,AE0026,AE0027,AE0028,AE0029,AE0030,AE1001,AE1002,AE2001,AE2002,AE2003,AE2004,AE2005,AE2006,AE2007,AE2008,AE2009,AE2010,AE2011,AE2012,AE2013,AE2014,AE2015,AE4001,AE5001
"G1701030","1850","Illinois","170","Lee","1030","Lee",5292,0,0,2804,2484,2,2,0,0,5288,4,0,,,143,56,,,905,0,46,1,0,0,46,1518,2,40,508,712,0,0,1220,0,1050,170,3173,863,2,0,0,,0,0,0,0,0,,0,,2,0,0,,0,0,1,1,0,0,0,73,359,408,358,307,469,380,247,137,48,17,3,0,0,0,70,350,395,349,251,425,292,183,113,42,14,2,0,0,0,2806,2486,143,709,803,707,558,894,672,430,250,90,31,5,0,0,0,0,0
"G1701050","1850","Illinois","170","Livingston","1050","Livingston",1552,0,0,827,725,0,0,0,0,1552,0,0,,,75,8,,,261,0,7,0,0,0,7,200,0,0,89,100,0,0,189,0,187,2,967,59,0,0,0,,0,0,0,0,0,,0,,1,0,0,,0,0,0,0,0,0,0,44,91,121,106,81,152,107,59,30,16,4,0,1,0,15,31,110,119,102,85,115,74,43,17,21,1,0,0,0,7,827,725,75,201,240,208,166,267,181,102,47,37,5,0,1,0,22,0,0
"G1701070","1850","Illinois","170","Logan","1070","Logan",5128,0,0,2709,2419,0,0,0,0,5128,0,0,,,216,55,,,835,0,0,0,0,0,0,0,0,0,752,641,0,0,1393,0,1373,20,2491,246,0,0,0,,0,0,0,0,0,,0,,0,0,0,,0,0,0,0,0,0,0,108,372,430,407,304,434,317,198,87,34,15,2,1,0,0,108,328,410,330,288,410,258,173,68,35,10,1,0,0,0,2709,2419,216,700,840,737,592,844,575,371,155,69,25,3,1,0,0,0,0
"G1701090","1850","Illinois","170","McDonough","1090","Mcdonough",7616,0,0,4047,3564,2,3,0,0,7611,5,0,,,227,50,,,1262,0,45,0,0,0,45,1879,0,0,1040,863,0,0,1903,0,1899,4,4181,206,2,4,0,,0,0,0,0,0,,0,,3,0,4,,0,0,0,0,0,0,0,125,555,649,604,471,647,431,281,186,74,23,2,0,1,0,102,439,586,530,451,639,369,217,134,70,22,8,0,0,0,4049,3567,227,994,1235,1134,922,1286,800,498,320,144,45,10,0,1,0,0,0
"G1701110","1850","Illinois","170","McHenry","1110","Mchenry",14978,0,0,7927,7048,0,3,0,0,14975,3,0,,,325,166,,,2650,0,103,0,0,0,143,5936,0,0,2267,1978,0,0,4245,0,3973,272,9112,2445,1,0,0,,0,0,0,0,0,,1,,3,0,4,,1,0,0,0,0,0,0,161,1113,1134,1047,817,1310,1023,676,382,179,49,13,0,0,23,164,1017,1103,948,736,1144,897,559,277,125,47,14,1,0,19,7927,7051,325,2130,2237,1995,1553,2454,1920,1235,659,304,96,27,1,0,42,0,1
"G1701130","1850","Illinois","170","McLean","1130","Mclean",10163,0,0,5252,4869,24,18,0,0,10121,42,0,,,399,65,,,1851,0,26,1,0,0,26,800,2,100,1304,1102,4,3,2406,7,2394,19,5641,216,1,2,1,,0,0,0,0,0,,0,,5,0,2,,0,0,0,0,0,0,0,187,735,811,711,557,942,609,350,210,78,35,8,1,0,42,212,697,807,656,560,844,490,329,153,89,20,4,1,0,25,5276,4887,399,1432,1618,1367,1117,1786,1099,679,363,167,55,12,2,0,67,0,0
"G1701150","1850","Illinois","170","Macon","1150","Macon",3988,0,0,2089,1896,2,1,0,0,3985,3,0,,,140,66,,,693,0,30,0,0,0,30,600,0,0,509,501,0,0,1010,0,1008,2,2219,0,2,0,0,,0,0,0,0,0,,0,,1,0,1,,0,0,0,0,0,1,0,64,268,340,308,227,367,229,163,81,27,15,2,0,0,0,76,248,300,275,243,328,190,125,76,23,12,1,0,0,0,2091,1897,140,516,640,583,470,695,419,288,157,50,27,3,0,0,0,0,0
"G1701170","1850","Illinois","170","Macoupin","1170","Macoupin",12355,0,0,6433,5839,46,37,0,0,12272,83,0,,,464,179,,,2037,0,72,1,0,0,73,1958,2,45,1766,1590,7,2,3356,9,3292,73,5652,725,7,0,1,,0,0,0,0,0,,0,,7,0,2,,0,0,0,2,0,0,1,239,887,987,872,721,1135,767,494,241,96,30,10,0,0,0,225,805,1025,831,647,1035,565,413,215,83,25,7,0,0,0,6479,5876,464,1692,2012,1703,1368,2170,1332,907,456,179,55,17,0,0,0,0,1
"G1701190","1850","Illinois","170","Madison","1190","Madison",20441,3585,0,10947,9045,219,230,0,0,19992,449,0,,,600,258,,,3490,1,94,1,8,125,95,3654,8,129,2047,1928,32,29,3975,61,3694,342,6678,5155,14,1,0,,0,4,0,0,0,,6,,13,0,12,,5,0,0,20,0,0,3,328,1232,1389,1301,1233,2422,1645,902,485,160,40,5,1,0,23,272,1143,1262,1297,1197,1732,1107,669,378,149,48,13,1,1,6,11166,9275,600,2375,2651,2598,2430,4154,2752,1571,863,309,88,18,2,1,29,1,1
"G1701210","1850","Illinois","170","Marion","1210","Marion",6720,0,0,3467,3249,2,2,0,0,6716,4,0,,,237,0,,,1132,0,56,0,0,0,56,668,0,0,996,842,0,0,1838,0,1838,0,3124,23,2,1,0,,0,0,0,0,0,,0,,4,0,1,,0,0,0,0,0,0,1,130,511,568,524,378,576,352,233,119,52,22,2,1,0,1,107,521,511,479,380,573,322,189,102,43,17,5,2,0,0,3469,3251,237,1032,1079,1003,758,1149,674,422,221,95,39,7,3,0,1,0,0
"G1701230","1850","Illinois","170","Marshall","1230","Marshall",5180,0,0,2717,2461,1,1,0,0,5178,2,0,,,150,9,,,910,0,20,0,0,0,20,800,0,0,539,117,0,0,656,0,656,0,2976,506,0,1,0,,0,0,0,0,0,,0,,3,0,1,,0,0,0,0,0,0,0,78,341,397,345,256,541,365,221,119,37,16,2,0,0,0,72,320,400,347,280,459,278,165,92,38,11,0,0,0,0,2718,2462,150,661,797,692,536,1000,643,386,211,75,27,2,0,0,0,1,0
"G1701250","1850","Illinois","170","Mason","1250","Mason",5921,0,0,3161,2737,6,17,0,0,5898,23,0,,,200,63,,,1041,0,21,0,0,0,21,440,0,0,352,308,0,0,660,0,660,0,2991,456,0,0,0,,0,0,0,0,0,,0,,1,0,0,,0,0,0,0,0,0,0,107,433,448,420,329,596,386,255,111,63,18,1,0,0,0,93,359,429,373,321,515,323,171,104,45,19,2,0,0,0,3167,2754,200,792,877,793,650,1111,709,426,215,108,37,3,0,0,0,1,0
"G1701270","1850","Illinois","170","Massac","1270","Massac",4092,0,0,2113,1957,16,6,0,0,4070,22,0,,,158,36,,,704,0,5,0,0,0,5,143,0,0,350,268,0,0,618,0,618,0,2642,74,2,0,0,,0,0,0,0,0,,0,,3,0,1,,0,0,0,0,0,0,0,80,316,341,300,200,357,264,132,80,46,6,6,0,1,0,78,286,321,283,215,355,210,115,55,41,3,1,0,0,0,2129,1963,158,602,662,583,415,712,474,247,135,87,9,7,0,1,0,1,0
"G1701290","1850","Illinois","170","Menard","1290","Menard",6349,0,0,3297,3031,13,8,0,0,6328,21,0,,,211,44,,,1035,0,30,0,0,0,30,720,0,0,910,779,0,0,1689,0,1689,0,2732,249,5,0,0,,0,0,0,0,0,,0,,2,0,6,,0,0,0,0,0,0,0,120,400,490,495,389,585,364,226,138,81,18,4,0,0,0,91,401,480,440,411,520,287,210,122,47,22,8,0,0,0,3310,3039,211,801,970,935,800,1105,651,436,260,128,40,12,0,0,0,0,0
"G1701310","1850","Illinois","170","Mercer","1310","Mercer",5246,0,0,2796,2448,1,1,0,0,5244,2,0,,,164,65,,,892,0,8,0,0,0,8,196,0,0,550,511,0,0,1061,0,1045,16,3224,333,2,0,0,,0,0,0,0,0,,0,,3,0,2,,0,0,0,0,0,1,0,83,349,450,393,298,457,372,200,115,60,16,2,0,0,2,81,349,415,347,263,402,280,170,85,42,12,2,0,0,1,2797,2449,164,698,865,740,561,859,652,370,200,102,28,4,0,0,3,1,0
"G1701330","1850","Illinois","170","Monroe","1330","Monroe",7679,0,0,4166,3467,25,21,0,0,7633,46,0,,,252,0,,,1421,0,32,0,0,0,32,759,0,0,736,571,0,0,1307,0,1165,142,1631,2707,4,0,0,,0,0,0,0,0,,4,,3,0,0,,2,0,0,0,0,0,3,122,515,602,545,413,714,610,342,232,71,20,2,0,0,3,130,460,554,489,372,529,418,296,155,59,26,0,0,0,0,4191,3488,252,975,1156,1034,785,1243,1028,638,387,130,46,2,0,0,3,1,0
"G1701350","1850","Illinois","170","Montgomery","1350","Montgomery",6277,0,0,3180,3078,10,9,0,0,6258,19,0,,,245,68,,,1051,1,58,0,4,60,58,1663,0,0,762,710,0,0,1472,0,1471,1,2806,44,2,0,0,,0,0,0,0,0,,3,,4,0,2,,0,0,0,0,1,0,0,122,437,514,475,362,487,346,246,127,57,14,3,0,0,0,123,382,485,438,416,525,296,223,113,64,19,2,1,0,0,3190,3087,245,819,999,913,778,1012,642,469,240,121,33,5,1,0,0,0,0
"G1701370","1850","Illinois","170","Morgan","1370","Morgan",16064,2745,0,8337,7602,67,58,0,0,15939,125,0,,,497,254,,,2661,1,62,2,6,90,68,1613,14,291,1874,1629,9,11,3503,20,3474,49,6745,1477,5,5,3,,0,2,0,0,0,,0,,14,0,7,,0,0,0,0,0,2,0,262,1015,1193,1167,909,1613,1001,590,364,137,63,11,1,0,78,235,976,1191,1057,936,1452,788,506,298,120,58,12,2,0,29,8404,7660,497,1991,2384,2224,1845,3065,1789,1096,662,257,121,23,3,0,107,0,1
"G1701390","1850","Illinois","170","Moultrie","1390","Moultrie",3234,0,0,1680,1545,7,2,0,0,3225,9,0,,,141,32,,,554,0,14,0,0,0,14,380,0,0,400,355,0,0,755,0,754,1,1589,85,1,2,0,,0,0,0,0,0,,0,,3,0,1,,0,0,0,0,0,0,0,83,238,292,257,169,253,184,124,52,27,5,2,1,0,0,58,239,274,206,190,251,171,99,36,16,5,2,0,0,0,1687,1547,141,477,566,463,359,504,355,223,88,43,10,4,1,0,0,0,0
"G1701410","1850","Illinois","170","Ogle","1410","Ogle",10020,0,0,5360,4630,19,11,0,0,9990,30,0,,,278,92,,,1678,0,74,1,0,0,74,2065,4,70,1320,1187,3,2,2507,5,2336,176,6458,1237,0,0,2,,0,1,0,0,0,,0,,2,0,0,,0,0,1,0,0,0,0,152,662,770,661,562,1027,755,408,236,100,35,8,2,0,1,126,670,739,590,544,756,585,306,205,81,28,10,1,0,0,5379,4641,278,1332,1509,1251,1106,1783,1340,714,441,181,63,18,3,0,1,0,0
"G1701430","1850","Illinois","170","Peoria","1430","Peoria",17547,5095,0,9360,8101,49,37,0,0,17461,86,0,,,467,197,,,3036,1,78,0,4,30,111,3260,0,0,1866,1761,1,5,3627,6,3491,142,9610,2633,2,0,1,,1,5,0,0,0,,0,,3,0,3,,2,1,0,0,0,0,1,238,1154,1317,1107,908,1903,1357,797,387,184,43,11,0,0,3,229,1104,1263,1057,904,1493,1008,593,308,138,31,9,1,0,0,9409,8138,467,2258,2580,2164,1812,3396,2365,1390,695,322,74,20,1,0,3,1,0
"G1701450","1850","Illinois","170","Perry","1450","Perry",5278,0,0,2813,2454,6,5,0,0,5267,11,0,,,209,0,,,967,0,13,0,0,0,13,340,0,0,458,350,0,0,808,0,808,0,2143,256,3,0,0,,0,0,0,0,0,,0,,0,0,2,,0,0,0,0,0,0,0,121,398,465,392,315,456,325,188,97,42,17,3,0,0,0,88,363,389,354,275,417,275,150,87,46,12,2,1,0,0,2819,2459,209,761,854,746,590,873,600,338,184,88,29,5,1,0,0,0,0
"G1701470","1850","Illinois","170","Piatt","1470","Piatt",1606,0,0,863,743,0,0,0,0,1606,0,0,,,63,0,,,157,0,7,0,0,0,7,300,0,0,207,170,0,0,377,0,376,1,1049,29,0,0,0,,0,0,0,0,0,,0,,1,0,1,,0,0,0,0,0,0,0,31,124,136,115,82,147,122,65,26,11,1,2,0,0,1,32,108,116,95,89,129,92,46,19,15,2,0,0,0,0,863,743,63,232,252,210,171,276,214,111,45,26,3,2,0,0,1,0,0
"G1701490","1850","Illinois","170","Pike","1490","Pike",18819,0,0,9670,9106,22,21,0,0,18776,43,0,,,681,155,,,3152,0,97,1,0,0,97,3241,1,30,2507,2176,6,0,4683,6,4663,26,10036,798,5,2,2,,0,0,1,0,0,,0,,4,0,2,,0,0,0,0,0,0,0,330,1371,1491,1392,1034,1520,1147,769,393,169,63,9,2,0,2,351,1365,1492,1231,1034,1585,910,607,355,138,52,6,0,0,1,9692,9127,681,2736,2983,2623,2068,3105,2057,1376,748,307,115,15,2,0,3,1,0
"G1701510","1850","Illinois","170","Pope","1510","Pope",3975,0,0,2049,1822,53,51,0,0,3871,104,0,,,110,10,,,747,0,15,0,0,0,15,570,0,0,129,87,0,0,216,0,216,0,1912,59,9,0,0,,0,0,0,0,0,,1,,11,0,8,,0,0,0,0,0,0,0,60,344,347,303,220,349,223,124,74,45,10,2,0,0,1,50,314,328,234,214,324,205,116,53,26,5,1,1,0,2,2102,1873,110,658,675,537,434,673,428,240,127,71,15,3,1,0,3,0,0
"G1701530","1850","Illinois","170","Pulaski","1530","Pulaski",2265,0,0,1181,1076,4,4,0,0,2257,8,0,,,75,61,,,418,0,6,0,0,0,6,149,0,0,186,138,0,0,324,0,324,0,1002,53,2,0,0,,0,0,0,0,1,,1,,6,0,2,,1,0,0,0,0,0,0,38,153,175,185,133,240,141,50,48,14,3,2,0,0,3,37,166,161,139,137,207,106,69,46,6,3,2,1,0,0,1185,1080,75,319,336,324,270,447,247,119,94,20,6,4,1,0,3,1,0
"G1701550","1850","Illinois","170","Putnam","1550","Putnam",3924,0,0,2063,1857,2,2,0,0,3920,4,0,,,144,8,,,636,0,23,0,0,0,23,880,0,0,582,516,0,0,1098,0,1056,42,2177,398,0,0,0,,0,0,0,1,0,,0,,2,0,4,,0,0,0,0,0,0,1,63,259,296,244,199,408,276,165,98,42,15,0,0,0,0,81,240,294,245,193,312,237,125,81,44,5,2,0,0,0,2065,1859,144,499,590,489,392,720,513,290,179,86,20,2,0,0,0,1,0
"G1701570","1850","Illinois","170","Randolph","1570","Randolph",11079,0,0,5709,4987,192,191,0,0,10696,383,0,,,349,219,,,2046,0,50,0,0,0,53,1414,0,0,779,695,5,5,1474,10,1409,75,3132,1987,3,0,0,,0,0,0,0,0,,3,,4,0,9,,2,0,0,0,0,0,3,185,720,819,763,655,1104,747,444,309,104,35,10,3,1,2,164,679,778,731,621,966,545,358,224,82,24,6,0,0,0,5901,5178,349,1399,1597,1494,1276,2070,1292,802,533,186,59,16,3,1,2,1,0
"G1701590","1850","Illinois","170","Richland","1590","Richland",4012,0,0,2095,1907,6,4,0,0,4002,10,0,,,119,38,,,704,0,12,0,0,0,12,360,0,0,517,410,0,0,927,0,911,16,1963,191,0,0,0,,0,0,0,0,0,,0,,3,0,0,,1,0,0,0,0,0,0,56,315,373,295,216,348,207,150,78,41,19,2,0,0,1,63,315,324,232,218,347,206,105,55,28,16,2,0,0,0,2101,1911,119,630,697,527,434,695,413,255,133,69,35,4,0,0,1,0,0
"G1701610","1850","Illinois","170","Rock Island","1610","Rock Island",6937,0,0,3706,3229,1,1,0,0,6935,2,0,,,168,19,,,1246,0,2,3,0,0,3,180,7,165,760,618,0,0,1378,0,1329,49,3974,925,1,0,0,,0,0,0,0,0,,0,,1,0,2,,0,0,0,0,0,0,0,80,539,590,455,340,645,557,300,128,56,15,2,0,0,0,88,489,518,377,363,603,423,224,101,36,5,1,0,0,2,3707,3230,168,1028,1108,832,703,1248,980,524,229,92,20,3,0,0,2,1,0
"G1701630","1850","Illinois","170","St Clair","1630","St Clair",20180,2941,0,10480,9119,306,275,0,0,19599,581,0,,,475,339,,,3727,1,0,0,8,79,0,0,0,0,1410,1256,5,6,2666,11,2412,265,3604,7170,3,0,0,,0,0,0,0,0,,1,,6,0,1,,4,0,0,0,0,0,0,261,1223,1533,1317,1143,1951,1549,923,620,197,46,13,4,0,6,214,1264,1488,1234,1012,1635,1097,763,454,155,58,11,0,0,9,10786,9394,475,2487,3021,2551,2155,3586,2646,1686,1074,352,104,24,4,0,15,1,1
"G1701650","1850","Illinois","170","Saline","1650","Saline",5588,0,0,2811,2684,50,43,0,0,5495,93,0,,,236,160,,,961,0,15,0,0,0,15,410,0,0,535,407,0,0,942,0,942,0,2255,24,10,0,0,,0,0,0,0,0,,0,,2,0,0,,0,0,0,0,0,0,0,120,399,475,395,346,485,294,156,100,49,27,3,1,0,11,116,403,464,384,338,442,271,151,86,34,13,4,1,1,19,2861,2727,236,802,939,779,684,927,565,307,186,83,40,7,2,1,30,0,0
"G1701670","1850","Illinois","170","Sangamon","1670","Sangamon",19228,4533,0,9911,9064,112,141,0,0,18975,253,0,,,556,161,,,3173,0,86,1,0,0,87,3220,5,80,2311,1861,9,12,4172,21,4172,21,9120,1243,8,2,0,,0,1,0,0,0,,0,,7,0,7,,2,0,0,0,0,0,0,283,1286,1496,1297,1077,1880,1223,782,429,192,64,12,1,1,0,273,1229,1391,1256,1070,1665,1036,629,394,183,65,12,2,0,0,10023,9205,556,2515,2887,2553,2147,3545,2259,1411,823,375,129,24,3,1,0,0,1
"G1701690","1850","Illinois","170","Schuyler","1690","Schuyler",10573,0,0,5514,5033,12,14,0,0,10547,26,0,,,359,253,,,1783,0,0,1,0,0,0,0,3,100,1228,1045,0,0,2273,0,2253,20,5253,423,1,1,0,,0,1,0,0,0,,0,,6,0,3,,0,0,0,0,0,0,0,180,766,879,721,612,979,621,410,225,86,43,4,0,0,0,179,712,841,725,608,825,534,333,186,76,23,4,1,0,0,5526,5047,359,1478,1720,1446,1220,1804,1155,743,411,162,66,8,1,0,0,1,0
"G1701710","1850","Illinois","170","Scott","1710","Scott",7914,0,0,4044,3858,4,8,0,0,7902,12,0,,,270,113,,,1300,0,46,1,0,0,46,1844,2,67,962,886,0,0,1848,0,1795,53,3279,531,7,2,0,,0,0,0,0,0,,0,,5,0,2,,0,0,0,0,0,0,0,142,530,623,540,423,739,469,303,188,66,18,6,0,1,0,128,530,615,513,470,706,391,259,166,69,15,3,1,0,0,4048,3866,270,1060,1238,1053,893,1445,860,562,354,135,33,9,1,1,0,1,0
"G1701730","1850","Illinois","170","Shelby","1730","Shelby",7807,0,0,4025,3737,26,19,0,0,7762,45,0,,,245,121,,,1411,0,45,0,0,0,45,869,0,0,637,545,0,1,1182,1,1183,0,3725,82,2,3,0,,0,0,0,0,0,,0,,5,0,0,,0,0,0,0,0,0,0,119,571,685,627,462,654,410,289,139,72,17,5,1,0,0,126,593,632,567,430,621,354,250,116,50,13,2,1,1,0,4051,3756,245,1164,1317,1194,892,1275,764,539,255,122,30,7,2,1,0,0,0
"G1701750","1850","Illinois","170","Stark","1750","Stark",3710,0,0,1940,1770,0,0,0,0,3710,0,0,,,143,66,,,594,0,22,0,0,0,22,483,0,0,705,588,0,0,1293,0,1252,41,2298,242,0,0,0,,0,0,0,0,0,,0,,0,0,0,,0,0,0,1,0,0,0,73,249,338,268,196,279,233,169,71,38,24,2,0,0,0,70,261,309,233,177,289,188,130,68,31,11,3,0,0,0,1940,1770,143,510,647,501,373,568,421,299,139,69,35,5,0,0,0,0,0
"G1701770","1850","Illinois","170","Stephenson","1770","Stephenson",11666,0,0,6267,5391,4,4,0,0,11658,8,0,,,411,175,,,1950,0,50,2,0,0,50,1800,3,100,1509,1265,0,0,2774,0,2561,213,7009,1782,0,0,0,,0,0,0,0,0,,0,,1,0,1,,2,0,0,0,0,0,0,211,836,978,784,582,1075,842,513,296,105,39,9,1,0,0,200,769,869,714,591,894,665,405,185,76,25,2,0,0,0,6271,5395,411,1605,1847,1498,1173,1969,1507,918,481,181,64,11,1,0,0,0,0
"G1701790","1850","Illinois","170","Tazewell","1790","Tazewell",12052,0,0,6381,5635,13,23,0,0,12016,36,0,,,379,106,,,1991,0,81,0,0,0,81,2941,0,0,1087,1027,0,0,2114,0,2077,37,6414,1379,2,2,0,,0,1,0,1,0,,0,,6,0,5,,0,0,0,0,0,0,0,182,708,915,797,677,1276,866,498,286,135,34,4,0,1,15,197,767,845,786,688,993,615,410,224,96,28,2,2,0,5,6394,5658,379,1475,1760,1583,1365,2269,1481,908,510,231,62,6,2,1,20,1,0
"G1701810","1850","Illinois","170","Union","1810","Union",7615,0,0,3852,3718,21,24,0,0,7570,45,0,,,252,70,,,1289,0,43,0,0,0,43,1300,0,0,731,575,0,0,1306,0,1298,8,3286,67,5,2,0,,0,0,0,0,2,,6,,10,0,2,,0,0,0,0,0,0,0,131,584,642,592,442,622,405,234,145,56,16,4,0,0,0,121,603,588,556,434,628,387,212,131,52,20,7,3,0,0,3873,3742,252,1187,1230,1148,876,1250,792,446,276,108,36,11,3,0,0,1,0
"G1701830","1850","Illinois","170","Vermilion","1830","Vermilion",11492,0,0,5904,5577,5,6,0,0,11481,11,0,,,297,8,,,1985,0,2,1,0,0,2,70,4,280,1759,1471,0,0,3230,0,3210,20,6305,174,7,0,0,,0,0,0,3,0,,0,,10,0,4,,0,0,0,0,0,0,1,151,803,954,797,691,1072,649,373,260,110,32,10,1,0,6,146,831,894,780,680,1000,550,365,206,77,35,7,3,1,8,5909,5583,297,1634,1848,1577,1371,2072,1199,738,466,187,67,17,4,1,14,0,0
"G1701850","1850","Illinois","170","Wabash","1850","Wabash",4690,0,0,2338,2302,24,26,0,0,4640,50,0,,,151,121,,,808,0,30,0,0,0,30,750,0,0,672,561,1,0,1233,1,1202,32,1655,323,0,1,0,,0,0,0,0,0,,2,,2,0,3,,2,0,0,0,0,0,1,69,312,365,330,289,401,263,160,90,53,27,1,0,0,2,82,340,371,321,276,387,231,169,103,36,9,3,0,0,0,2362,2328,151,652,736,651,565,788,494,329,193,89,36,4,0,0,2,1,0
"G1701870","1850","Illinois","170","Warren","1870","Warren",8176,0,0,4339,3823,7,7,0,0,8162,14,0,,,185,168,,,1401,0,106,0,0,0,106,409,0,0,1376,1176,0,0,2552,0,2504,48,4868,241,6,0,0,,0,0,0,0,0,,0,,3,0,4,,0,0,0,0,0,0,0,94,604,661,581,493,752,564,303,167,94,30,3,0,0,0,91,556,639,537,430,652,431,238,151,73,25,6,1,0,0,4346,3830,185,1160,1300,1118,923,1404,995,541,318,167,55,9,1,0,0,0,0
"G1701890","1850","Illinois","170","Washington","1890","Washington",6953,0,0,3611,3318,12,12,0,0,6929,24,0,,,253,135,,,1288,0,30,0,0,0,30,1000,0,0,765,659,0,0,1424,0,1385,39,2302,999,1,0,0,,0,0,0,0,0,,3,,6,0,1,,0,0,0,0,0,0,0,139,537,578,485,387,605,400,281,143,50,17,1,0,0,0,114,491,543,507,353,542,381,207,126,47,14,5,0,0,0,3623,3330,253,1028,1121,992,740,1147,781,488,269,97,31,6,0,0,0,0,0
"G1701910","1850","Illinois","170","Wayne","1910","Wayne",6825,0,0,3473,3349,2,1,0,0,6822,3,0,,,222,94,,,1209,0,,0,0,0,,,0,0,464,386,0,0,850,0,843,7,2664,86,4,2,0,,0,0,0,0,0,,0,,11,0,4,,0,0,0,0,0,0,0,115,544,554,547,357,597,342,198,116,82,17,5,1,0,0,107,511,596,477,379,611,304,193,95,56,19,2,0,0,0,3475,3350,222,1055,1150,1024,736,1208,646,391,211,138,36,7,1,0,0,0,0
"G1701930","1850","Illinois","170","White","1930","White",8925,0,0,4578,4238,58,51,0,0,8816,109,0,,,304,134,,,1537,0,40,0,0,0,40,1000,0,0,790,746,26,18,1536,44,1531,49,2977,209,9,0,0,,0,0,0,0,0,,0,,6,0,6,,0,0,0,0,0,0,0,152,624,615,781,657,770,479,251,190,77,33,6,1,0,0,152,617,583,626,585,742,415,260,193,74,30,9,3,0,0,4636,4289,304,1241,1198,1407,1242,1512,894,511,383,151,63,15,4,0,0,1,0
"G1701950","1850","Illinois","170","Whiteside","1950","Whiteside",5361,0,0,2861,2498,2,0,0,0,5359,2,0,,,197,0,,,923,0,36,0,0,0,36,1364,0,0,700,614,0,0,1314,0,1268,46,3344,436,0,0,1,,0,0,0,0,0,,0,,1,0,2,,0,0,0,0,0,0,0,98,370,415,355,281,528,414,215,119,53,13,2,0,0,0,99,364,373,302,260,459,323,167,91,47,8,5,0,0,0,2863,2498,197,734,788,657,541,987,737,382,210,100,21,7,0,0,0,1,0
"G1701970","1850","Illinois","170","Will","1970","Will",16703,2659,0,8850,7820,21,12,0,0,16670,33,0,,,495,142,,,2796,0,87,5,0,0,89,3742,8,200,2007,1657,2,2,3664,4,3024,644,6621,4957,2,0,3,,0,1,0,0,0,,0,,3,0,2,,3,0,0,0,0,0,0,227,1055,1234,1092,983,1645,1207,776,414,188,38,12,0,0,0,268,1013,1264,1032,884,1359,922,600,315,135,34,5,0,0,1,8871,7832,495,2068,2498,2124,1867,3004,2129,1376,729,323,72,17,0,0,1,0,0
"G1701990","1850","Illinois","170","Williamson","1990","Williamson",7216,0,0,3668,3481,36,31,0,0,7149,67,0,,,302,74,,,1195,0,18,1,0,0,18,360,2,60,607,494,0,0,1101,0,1101,0,3470,52,11,0,0,,0,0,0,0,0,,0,,8,0,2,,0,0,0,0,0,0,0,163,624,651,520,406,541,372,218,133,55,15,4,2,0,0,140,530,598,530,428,576,329,207,107,47,17,3,0,0,0,3704,3512,303,1154,1249,1050,834,1117,701,425,240,102,32,7,2,0,0,0,0
"G1702010","1850","Illinois","170","Winnebago","2010","Winnebago",11773,0,0,6329,5432,9,3,0,0,11761,12,0,,,322,83,,,1979,0,68,0,0,0,68,2385,0,0,1429,1276,0,0,2705,0,2350,355,6776,2273,1,0,5,,0,0,0,0,0,,0,,2,0,1,,0,0,0,0,0,0,0,163,816,878,762,626,1157,862,528,294,140,52,6,1,0,53,159,668,812,696,577,1022,676,418,241,105,39,9,0,1,12,6338,5435,322,1484,1690,1458,1203,2179,1538,946,535,245,91,15,1,1,65,0,0
"G1702030","1850","Illinois","170","Woodford","2030","Woodford",4415,0,0,2287,2128,0,0,0,0,4415,0,0,,,131,24,,,747,0,25,1,0,0,28,750,2,50,619,507,0,0,1126,0,1092,34,2052,660,1,1,1,,0,1,0,0,0,,0,,0,0,0,,1,0,0,0,0,0,0,62,297,368,301,240,371,266,209,117,39,14,2,1,0,0,68,297,350,320,242,328,223,179,76,29,14,2,0,0,0,2287,2128,130,594,718,621,482,699,489,388,193,68,28,4,1,0,0,1,0
"G1800010","1850","Indiana","180","Adams","0010","Adams",5797,0,0,3040,2749,4,4,0,0,5789,8,0,,,203,72,,,1002,0,28,0,0,0,28,555,0,0,598,521,0,0,1119,0,1119,0,3206,847,0,0,0,,0,0,0,0,0,,2,,2,0,0,,1,,0,0,0,0,0,92,500,544,412,263,443,368,202,139,56,20,3,1,1,0,111,435,479,374,276,428,326,155,107,53,9,0,0,0,0,3044,2753,203,935,1023,786,539,871,694,357,246,109,29,3,1,1,0,0,0
