source,target,weight
"Blinn, Henry Clay","Garrison, William Lloyd",1
"Blumer, John George.","Garrison, William Lloyd",1
"Boker, George H.","Garrison, William Lloyd",1
"Bomen, John W.","Chapman, Maria Weston",1
"Bond, Hugh L.","Garrison, William Lloyd",1
"Borchardt, Louis","Garrison, William Lloyd",1
"Borchardt, M.","Garrison, William Lloyd",1
"Borden, Nathaniel B.","Garrison, William Lloyd",1
"Bourne, Theodore","Garrison, William Lloyd",6
"Bowden, William J.","Garrison, William Lloyd",1
"Bowditch, Henry I.","Garrison, William Lloyd",3
"Bowditch, Henry I.","Wallcut, Robert Folger",1
"Bowditch, Jonathan Ingersoll","Garrison, William Lloyd",1
"Bowditch, William I.","Garrison, William Lloyd",2
"Bowditch, William I.","May, Samuel",1
"Bowditch, William I.","Weston, Anne Warren",1
"Bowe, Obadiah Allen","Garrison, William Lloyd",1
"Bowles, Samuel","May, Samuel",1
"Bowring, John","Chapman, Maria Weston",1
"Boyce, Eliza.","Chapman, Maria Weston",2
"Boyle, James.","Garrison, William Lloyd",1
"Bradburn, George","Garrison, William Lloyd",1
"Bradford, Charlotte.",Weston,1
"Bradford, Charlotte.","Weston, Anne Warren",1
"Bradford, Claudius.","Chapman, Maria Weston",1
"Brady, Mary.","Chapman, Maria Weston",3
"Brady, Mary.","Garrison, William Lloyd",1
"Brainard, Charles H.","Garrison, William Lloyd",1
"Bramhall, Ann Rebecca.","Chapman, Maria Weston",1
"Bramhall, Ann Rebecca.",Weston,1
"Bramhall, Ann Rebecca.","Weston, Anne Warren",1
"Bramhall, Cornelius.","Chapman, Maria Weston",1
"Bramhall, Cornelius.","Garrison, William Lloyd",3
"Bratton, E. E.","Garrison, William Lloyd",1
"Brigham, Charles","Garrison, William Lloyd",1
"Bright, Jacob","Garrison, William Lloyd",1
"Brisbane, William Henry","Garrison, William Lloyd",1
"Brooke, Abraham.","Chapman, Maria Weston",3
"Brooke, Abraham.","Garrison, William Lloyd",3
"Brooks, George M.","Garrison, William Lloyd",1
"Brooks, Mary Merrick","Chapman, Maria Weston",11
"Brooks, Mary Merrick","Garrison, William Lloyd",2
"Brooks, Mary Merrick","May, Samuel",1
"Brooks, Mary Merrick","Weston, Anne Warren",2
"Brooks, Mary Merrick","Weston, Caroline",2
"Brown, A. P.","Garrison, William Lloyd",1
"Brown, Abel","Garrison, William Lloyd",2
"Brown, B. Gratz","Garrison, William Lloyd",1
"Brown, Henry Box","Stearns, Charles.",1
"Brown, Henry.","West, Edward.",1
"Brown, J. W.","May, Samuel",1
"Brown, James C.","Garrison, William Lloyd",1
"Brown, James.","Garrison, William Lloyd",1
"Brown, John","Garrison, William Lloyd",1
"Brown, Olympia","Garrison, William Lloyd",1
"Brown, Thomas H.","Garrison, William Lloyd",1
"Brown, William C.","Garrison, William Lloyd",1
"Brown, William Wells","Chapman, Maria Weston",1
"Brown, William Wells","Garrison, William Lloyd",1
"Brown, William Wells",Weston,1
"Browne, Lucinda B.","Chapman, Maria Weston",1
"Browne, Lucy A.","Chapman, Maria Weston",2
"Browne, Lucy.","Chapman, Maria Weston",4
"Browne, Martha Griffith","Chapman, Maria Weston",2
"Browne, Martha Griffith","Garrison, William Lloyd",2
"Browne, N.","Chapman, Maria Weston",1
"Bruck, William A.","Garrison, William Lloyd",1
"Buck, A. R.","Garrison, William Lloyd",1
"Buckley, John C.","Garrison, William Lloyd",5
"Buddington, Thomas Cushman","Buddington, H. A.",1
"Buell, Charles E.","Garrison, William Lloyd",1
"Buffum, James Needham","Chapman, Maria Weston",1
"Buffum, James Needham","Thompson, George",1
"Bullock, Alexander H.","Garrison, William Lloyd",1
"Bunsen, Christian Karl Josias","Thayer, C. C.",1
"Burleigh, Celia Burr.","Garrison, William Lloyd",1
"Burleigh, Charles C.","Garrison, William Lloyd",2
"Burleigh, Charles C.","Phillips, Wendell",1
"Burleigh, Cyrus Moses","Garrison, William Lloyd",1
"Burleigh, Cyrus Moses","May, Samuel",1
"Burleigh, Edward.","Garrison, William Lloyd",1
"Burleigh, Gertrude K.","Garrison, William Lloyd",1
"Burleigh, Gertrude K.","May, Samuel",2
"Burleigh, Lucian.","Chapman, Maria Weston",1
"Burleigh, Lucian.","Garrison, William Lloyd",1
"Burleigh, Margaret Jones.","Garrison, William Lloyd",1
"Burleigh, Margaret Jones.","Grew, Mary",1
"Burns, A. M.","Garrison, William Lloyd",1
"Burns, Anthony","Garrison, William Lloyd",1
"Burr, William Henry","Garrison, William Lloyd",1
"Burritt, Elihu","Garrison, William Lloyd",1
"Burroughs, James.","Garrison, William Lloyd",1
"Burrows, Thomas.","Garrison, William Lloyd",1
"Burton, Ella.","Garrison, William Lloyd",1
"Bush, Andrew M.","Garrison, William Lloyd",1
"Bush, George","Garrison, William Lloyd",1
"Buss, A. E.","Weston, Caroline",1
"Butler, Josephine Elizabeth Grey","Garrison, William Lloyd",10
"Butler, W. P.","Garrison, William Lloyd",1
"Butman, Sarah L.",Weston,1
"Buxton, Thomas Fowell","Buxton, Thomas Fowell",1
"Buxton, Thomas Fowell","Garrison, William Lloyd",2
"Buzacott, Aaron.","Sturge, Edmund",1
"Byrne, Susan.","Garrison, William Lloyd",1
"Cabot, Frederick Samuel","Chapman, Maria Weston",1
"Cabot, Frederick Samuel","Weston, Anne Warren",1
"Cabot, Frederick Samuel","Weston, Emma Forbes",1
"Cabot, Susan C.","Chapman, Maria Weston",4
"Cadwallader, Charles.","Garrison, William Lloyd",1
