source,target,weight
"Estlin, Mary Anne","May, Samuel",3
"Estlin, Mary Anne",Weston,5
"Estlin, Mary Anne","Weston, Anne Warren",17
"Estlin, Mary Anne","Weston, Caroline",21
"Estlin, Mary Anne","Weston, Deborah",1
"Estlin, Mary Anne","Weston, Emma Forbes",4
"Estwick, Samuel","Mansfield, William Murray",1
"Evans, A. R.","Garrison, William Lloyd",1
"Evans, Estwick","Garrison, William Lloyd",2
"Evans, Nathan.","Garrison, William Lloyd",2
"Everett, Joshua Titus","Garrison, William Lloyd",1
"Fairbank, Calvin","Garrison, William Lloyd",1
"Fairbanks, Asa","Garrison, William Lloyd",2
"Fairchild, Charles Grandison","Garrison, William Lloyd",1
"Fairchild, Edward Henry","Garrison, William Lloyd",2
"Fakryensh, M. E.","Garrison, William Lloyd",1
"Farmer, William.","Chapman, Maria Weston",2
"Farmer, William.","Garrison, William Lloyd",4
"Farnham, Eliza W.","Garrison, William Lloyd",1
"Farnsworth, Amos","Chapman, Maria Weston",5
"Farnsworth, Amos","Garrison, William Lloyd",1
"Farnsworth, Amos","Weston, Anne Warren",18
"Fayerweather, Sarah Ann Harris","Garrison, William Lloyd",1
"Fee, John Gregg","Garrison, William Lloyd",1
"Ferguson, Fergus","Garrison, William Lloyd",1
"Ferguson, Robert.","Chapman, Maria Weston",1
"Ferguson, Robert.","Garrison, William Lloyd",2
"Fessenden, Samuel","Garrison, William Lloyd",4
"Field, Cyrus W.","Garrison, William Lloyd",1
"Fields, Annie","Garrison, William Lloyd",4
"Fields, James Thomas","Garrison, William Lloyd",1
"Firth, Abraham","May, Samuel",1
"Fish, Benjamin.","Garrison, William Lloyd",2
"Fish, William Henry","Garrison, William Lloyd",5
"Fisk, John M.","May, Samuel",1
"Fitch, William H.","Garrison, William Lloyd",1
"Fitz, Charles F.","Garrison, William Lloyd",1
"Flanders, Martha G.","Garrison, William Lloyd",1
"Fleet, Mozart B.","Garrison, William Lloyd",1
"Fletcher, John.","Garrison, William Lloyd",1
"Flint, J. M.","Garrison, William Lloyd",1
"Folger, Robert H.","Garrison, William Lloyd",1
"Follen, Charles Christopher","Garrison, William Lloyd",1
"Follen, Eliza Lee Cabot","Chapman, Maria Weston",9
"Follen, Eliza Lee Cabot","Garrison, William Lloyd",1
"Follen, Eliza Lee Cabot","May, Samuel",1
"Follen, Eliza Lee Cabot","Weston, Anne Warren",4
"Foote, Hiram.","Garrison, William Lloyd",1
"Forbes, John Murray","Chapman, Maria Weston",3
"Forbes, John Murray","Garrison, William Lloyd",2
"Ford, Lewis","Garrison, William Lloyd",1
"Forman, J. G.","Garrison, William Lloyd",1
"Foss, A. T.","Garrison, William Lloyd",1
"Foster, Abby Kelley","Chapman, Maria Weston",25
"Foster, Abby Kelley","Garrison, Helen Eliza",2
"Foster, Abby Kelley","Garrison, William Lloyd",13
"Foster, Abby Kelley","Weston, Anne Warren",5
"Foster, Daniel","May, Samuel",2
"Foster, E. J.","Garrison, William Lloyd",1
"Foster, George.","Garrison, William Lloyd",1
"Foster, Horatio W.","Chapman, Maria Weston",1
"Foster, N. A.","Garrison, William Lloyd",1
"Foster, Rebeckah H.","Garrison, William Lloyd",1
"Foster, Stephen S.","Foster, Abby Kelley",1
"Foster, Stephen S.","Garrison, William Lloyd",1
"Foster, Stephen S.","May, Samuel",1
"Fowler, L. N.","Garrison, William Lloyd",1
"Fowler, Lydia F.","Garrison, William Lloyd",1
"Fox, Henry J.","Garrison, William Lloyd",1
"Fox, William","Crafton, William Bell.",1
"Fox, William","Hunt, Benjamin P.",1
"Freeland, Edward B.","Garrison, William Lloyd",1
"Frémont, John Charles","Garrison, William Lloyd",1
"French, John Robert","Garrison, William Lloyd",1
Friend of the Freedmen.,"Garrison, William Lloyd",1
"Frost, B.","Garrison, William Lloyd",1
"Frothingham, Frederick","Garrison, William Lloyd",2
"Frothingham, Octavius Brooks","Garrison, William Lloyd",1
"Frothingham, Octavius Brooks","May, Samuel",1
"Furness, William Henry","Garrison, William Lloyd",1
"Fyfe, Andrew.","Garrison, William Lloyd",1
"Gaël, A.","Garrison, William Lloyd",1
"Gage, Frances Dana","Garrison, William Lloyd",3
"Gale, Samuel","Garrison, William Lloyd",1
"Garland, C. T.","Garrison, William Lloyd",3
"Garretson, N. P.","Garrison, William Lloyd",1
"Garrett, Thomas","Garrison, William Lloyd",7
"Garrison, George A.","Garrison, William Lloyd",1
"Garrison, Helen Eliza","Garrison, William Lloyd",1
"Garrison, William Lloyd","Adams, F. G.",1
"Garrison, William Lloyd","Adams, J. S.",1
"Garrison, William Lloyd","Albright, Rachel A.",1
"Garrison, William Lloyd","Alger, William Rounseville",1
"Garrison, William Lloyd","Allen, Ephraim Williams",2
"Garrison, William Lloyd","Allen, Nathaniel T.",4
"Garrison, William Lloyd","Bartlett, E. F.",1
"Garrison, William Lloyd","Beattie, Robert.",1
"Garrison, William Lloyd","Beecher, Henry Ward",1
"Garrison, William Lloyd","Benson, Anna Elizabeth.",7
"Garrison, William Lloyd","Benson, George",3
"Garrison, William Lloyd","Benson, George William",77
"Garrison, William Lloyd","Benson, Henry Egbert",36
"Garrison, William Lloyd","Benson, J. C.",1
"Garrison, William Lloyd","Benson, Mary",5
"Garrison, William Lloyd","Benson, Sarah Thurber",5
"Garrison, William Lloyd","Blackwell, Henry Browne",1
"Garrison, William Lloyd","Bourne, Theodore",1
"Garrison, William Lloyd","Bowditch, William I.",2
"Garrison, William Lloyd","Boyce, James P.",1
"Garrison, William Lloyd","Bradburn, George",1
"Garrison, William Lloyd","Bramhall, Ann Rebecca",1
"Garrison, William Lloyd","Browne, Theodore",1
"Garrison, William Lloyd","Buffum, James Needham",1
"Garrison, William Lloyd",Bush,1
"Garrison, William Lloyd","Campbell, James",1
"Garrison, William Lloyd","Capron, Effingham Lawrence",1
"Garrison, William Lloyd","Carter, Joseph R.",1
"Garrison, William Lloyd",Chace,1
"Garrison, William Lloyd","Chace, William M.",1
"Garrison, William Lloyd","Channing, William Ellery",1
"Garrison, William Lloyd","Chapman, Henry Grafton",16
"Garrison, William Lloyd","Chapman, Maria Weston",18
"Garrison, William Lloyd","Child, David Lee",3
"Garrison, William Lloyd","Clarke, J. R.",1
"Garrison, William Lloyd","Clarkson, Catherine Buck",1
"Garrison, William Lloyd","Cobb, Samuel C.",1
"Garrison, William Lloyd","Collins, John A.",4
"Garrison, William Lloyd","Connor, Rowland",1
"Garrison, William Lloyd","Cooley, Aaron",2
"Garrison, William Lloyd","Corkran, Charles L.",1
"Garrison, William Lloyd","Cowen, Joseph",1
"Garrison, William Lloyd","Cowing, Cornelius",1
"Garrison, William Lloyd","Cox, Hannah Pierce",1
"Garrison, William Lloyd","Crandall, Prudence",1
"Garrison, William Lloyd","Davis, Edward Morris",2
"Garrison, William Lloyd","Dole, Ebenezer",4
"Garrison, William Lloyd","Douglass, S. M.",2
"Garrison, William Lloyd","Dresel, Anna Loring",1
"Garrison, William Lloyd","Drew, Thomas Bradford",1
"Garrison, William Lloyd","Eddy, Eliza Frances Jackson Meriam",2
"Garrison, William Lloyd","Estlin, J. B.",3
"Garrison, William Lloyd","Estlin, Mary Anne",6
"Garrison, William Lloyd","Farmer, John",1
"Garrison, William Lloyd","Farnsworth, Amos",2
"Garrison, William Lloyd","Farnsworth, Elizabeth",1
"Garrison, William Lloyd","Forbes, John Murray",1
"Garrison, William Lloyd","Foster, Abby Kelley",3
"Garrison, William Lloyd","Friend, Julia M.",1
"Garrison, William Lloyd","Gardner, Francis",1
"Garrison, William Lloyd","Garrison, Frances Maria Lloyd",1
"Garrison, William Lloyd","Garrison, Francis Jackson",27
"Garrison, William Lloyd","Garrison, Helen Eliza",240
"Garrison, William Lloyd","Garrison, James Holley",4
"Garrison, William Lloyd","Garrison, Lucy McKim",1
"Garrison, William Lloyd","Garrison, Wendell Phillips",108
"Garrison, William Lloyd","Garrison, William Lloyd",10
"Garrison, William Lloyd","Gates, Seth Merrill",1
"Garrison, William Lloyd","Goodell, William",1
"Garrison, William Lloyd","Grover, A. J.",1
"Garrison, William Lloyd","Guiney, Patrick R.",1
"Garrison, William Lloyd","Gunn, Marcus",1
"Garrison, William Lloyd","Hazeltine, Charles",1
"Garrison, William Lloyd","Higginson, Thomas Wentworth",1
"Garrison, William Lloyd","Hinckley, Isabella Mack",4
"Garrison, William Lloyd","Hines, Harry C.",1
"Garrison, William Lloyd","Hodgson, W. B.",1
"Garrison, William Lloyd","Holyoake, George Jacob",1
"Garrison, William Lloyd","Horton, Jacob",3
"Garrison, William Lloyd","Hovey, Charles F.",1
"Garrison, William Lloyd","Jackson, Francis",22
"Garrison, William Lloyd","Jackson, Phoebe",2
"Garrison, William Lloyd","Japhet, J. M.",1
"Garrison, William Lloyd","Jewett, John Punchard",1
"Garrison, William Lloyd","Jocelyn, Simeon Smith",1
"Garrison, William Lloyd","Johnson, Oliver",93
"Garrison, William Lloyd","Johnson, Samuel",1
"Garrison, William Lloyd","Johnston, N. R.",1
"Garrison, William Lloyd","Knapp, Isaac",6
"Garrison, William Lloyd","Lenox, John M.",1
"Garrison, William Lloyd","Loring, Louisa Gilman",7
"Garrison, William Lloyd","Love, Alfred H.",5
"Garrison, William Lloyd","Lundy, Benjamin",1
"Garrison, William Lloyd","M'Kim, J. Miller",20
"Garrison, William Lloyd","M'Kim, Sarah Allibone Speakman",1
"Garrison, William Lloyd","Mack, David",1
"Garrison, William Lloyd","Manning, Jacob M.",1
"Garrison, William Lloyd",Marshall,1
"Garrison, William Lloyd","Martineau, James",1
"Garrison, William Lloyd","Mawson, Elizabeth Swan",1
"Garrison, William Lloyd","Mawson, John",1
"Garrison, William Lloyd","May, Samuel",80
"Garrison, William Lloyd","May, Samuel J.",71
"Garrison, William Lloyd","Meriam, Eliza Frances",1
"Garrison, William Lloyd","Morgan, John",1
"Garrison, William Lloyd","Mott, James",1
"Garrison, William Lloyd","Nell, William C.",2
"Garrison, William Lloyd","Newell, Charlotte Lloyd",2
"Garrison, William Lloyd","Newhall, William",1
"Garrison, William Lloyd","Nichol, Elizabeth Pease",46
"Garrison, William Lloyd","Norton, John Treadwell",1
"Garrison, William Lloyd","Parker, Theodore",10
"Garrison, William Lloyd","Parker, Thomas",1
"Garrison, William Lloyd","Pease, Joseph",4
"Garrison, William Lloyd","Phelps, Amos A.",5
"Garrison, William Lloyd","Phillips, Wendell",2
"Garrison, William Lloyd","Pillsbury, Parker",1
"Garrison, William Lloyd","Pitman, Harriet Minot",1
"Garrison, William Lloyd","Potter, Thomas Bayley",1
"Garrison, William Lloyd","Potter, William J.",3
"Garrison, William Lloyd","Purvis, Robert",9
"Garrison, William Lloyd","Quincy, Edmund",3
"Garrison, William Lloyd","Rae, Robert",1
"Garrison, William Lloyd",RECIPIENT (PERSONAL NAME),2
"Garrison, William Lloyd","Redpath, James",1
"Garrison, William Lloyd","Ricketson, Joseph",3
"Garrison, William Lloyd","Robinson, George Dexter",1
"Garrison, William Lloyd","Ross, Alexander Milton",3
"Garrison, William Lloyd","Round, W. M. F.",1
"Garrison, William Lloyd","Ruffin, Josephine St. Pierre",1
"Garrison, William Lloyd","Sheehy, Michael J.",1
"Garrison, William Lloyd","Shepard, George",1
"Garrison, William Lloyd","Shipley, Thomas",1
"Garrison, William Lloyd","Smith, Ann Carroll Fitzhugh",1
"Garrison, William Lloyd","Smith, Gerrit",1
"Garrison, William Lloyd","Smith, Joshua Bowen",1
"Garrison, William Lloyd","Southard, Nathaniel",1
"Garrison, William Lloyd","Stacy, George W.",10
"Garrison, William Lloyd","Steinthal, S. Alfred",1
"Garrison, William Lloyd","Studwell, Edwin A.",1
"Garrison, William Lloyd","Sumner, Charles",2
"Garrison, William Lloyd","Sunderland, La Roy",2
"Garrison, William Lloyd","Thayer, Caroline Coddington",6
"Garrison, William Lloyd","Thompson, George",2
"Garrison, William Lloyd","Tilton, Theodore",2
"Garrison, William Lloyd","Todd, Francis",1
"Garrison, William Lloyd","Tredgold, John Harfield",1
"Garrison, William Lloyd","Villard, Fanny Garrison",84
"Garrison, William Lloyd","Villard, Henry",4
"Garrison, William Lloyd","Vincent, Lucy Chappell Cleare",1
"Garrison, William Lloyd","Wallcut, Robert Folger",1
"Garrison, William Lloyd","Webb, Richard Davis",14
"Garrison, William Lloyd","Wertz, Henry D.",1
"Garrison, William Lloyd","Weston, Anne Warren",9
"Garrison, William Lloyd","Weston, Caroline",3
"Garrison, William Lloyd","Weston, Deborah",2
"Garrison, William Lloyd","Wheeler, William Adolphus",1
"Garrison, William Lloyd","Whittier, John Greenleaf",5
"Garrison, William Lloyd","Wilson, Henry",1
"Garrison, William Lloyd","Winslow, Isaac",1
"Garrison, William Lloyd","Wright, Albert J.",1
"Garrison, William Lloyd","Wright, Henry Clarke",37
"Garrison, William Lloyd","Yerrinton, J. M. W.",7
"Garrison, William Lloyd","Yerrinton, James Brown",1
"Gates, Lucy.","Chapman, Maria Weston",1
"Gay, Sydney Howard","Garrison, William Lloyd",7
"Gay, Sydney Howard","May, Samuel",5
"Gazzam, Joseph M.","Garrison, William Lloyd",1
"Geoffroy Saint-Hilaire, Isidore","Chapman, Maria Weston",1
"Gibbons, Abby Hopper","Garrison, William Lloyd",1
"Gibbons, Abby Hopper","May, Samuel",1
"Gibbons, J. S.","Chapman, Maria Weston",1
"Gibbons, J. S.","Garrison, William Lloyd",10
"Gibbons, J. S.","Jackson, Francis",1
"Gibbons, J. S.","Weston, Caroline",1
"Gibbs, Leonard.","Garrison, William Lloyd",1
"Giddings, Joshua R.","Garrison, William Lloyd",7
"Giddings, Lura Maria","Garrison, William Lloyd",1
"Giddings, Lura Maria","May, Samuel",2
"Gilbert, Amos.","Garrison, William Lloyd",1
"Gilbert, Olive.","Truth, Sojourner",1
"Gilbert, Oliver C.","Garrison, William Lloyd",1
"Gilbert, Timothy","May, Samuel",1
"Gilmore, William R.2.","Garrison, William Lloyd",1
"Gledstone, James Paterson.","Garrison, William Lloyd",1
"Glover, T. W.","Garrison, William Lloyd",1
"Goddard, Delano A.","Garrison, William Lloyd",2
"Goff, H. N. K.","Garrison, William Lloyd",3
"Goodell, Lavinia.","Garrison, William Lloyd",1
"Goodell, William","Jackson, Francis",1
"Gore, John C.","Chapman, Maria Weston",1
"Gould, Reuben K.","Garrison, William Lloyd",1
"Gould, William E.","Garrison, William Lloyd",1
"Gowing, Richard.","Garrison, William Lloyd",1
"Grabord, Louis.","Garrison, William Lloyd",1
"Graham, Andrew J.","Garrison, William Lloyd",1
"Graham, Sylvester","Garrison, William Lloyd",1
"Grandey, George W.","Garrison, William Lloyd",2
"Grandin, David S.","Chapman, Maria Weston",1
"Grandin, David S.","Garrison, William Lloyd",2
"Grandin, David S.","May, Samuel",1
"Grandy, Moses","Thompson, George",1
"Greeley, Horace","Garrison, William Lloyd",1
"Green, William","Garrison, William Lloyd",3
"Greener, Richard Theodore","Garrison, William Lloyd",1
"Greenwood, Grace","Garrison, William Lloyd",1
"Greville, Robert Kaye","Garrison, William Lloyd",1
"Grew, Henry","Garrison, William Lloyd",1
"Grew, Henry","Jackson, Francis",1
"Grew, Mary","Chapman, Maria Weston",3
"Grew, Mary","Garrison, William Lloyd",16
"Grew, Mary","May, Samuel",1
"Grew, Mary",Weston,1
"Grew, Mary","Weston, Anne Warren",2
"Grew, William.","Garrison, William Lloyd",1
"Gridley, Fidelia S.","Chapman, Maria Weston",1
"Griffin, William P.","Chapman, Maria Weston",4
"Griffing, Josephine W.","Garrison, William Lloyd",1
"Griffiths, Julia","Garrison, William Lloyd",1
"Griffiths, Julia","Stowe, Harriet Beecher",1
"Griffiths, Julia","Weston, Anne Warren",1
"Grimké, Angelina Emily","Child, Lydia Maria",1
"Grimké, Angelina Emily","Weston, Anne Warren",4
"Grimké, Sarah Moore","Garrison, William Lloyd",4
"Grimké, Sarah Moore","Weston, Anne Warren",4
"Griswold, Howard.","Garrison, William Lloyd",1
"Griswold, Whiting","Garrison, William Lloyd",1
"Grosvenor, Cyrus Pitt","May, Samuel",1
"Grosvenor, Louisa.","Garrison, William Lloyd",1
"Grover, A. J.","Garrison, William Lloyd",3
"Guild, Mary M.","Garrison, William Lloyd",1
"Guiney, Patrick R.","Garrison, William Lloyd",1
"Gulland, James.","Garrison, William Lloyd",1
"Gunn, Lewis C.","Garrison, William Lloyd",1
"Gunn, Lewis C.","Weston, Anne Warren",1
"Gurley, Ralph Randolph","Garrison, William Lloyd",1
"Hager, Albert D.","Garrison, William Lloyd",1
"Hale, John P.","Weston, Caroline",1
"Hale, Susan","Chapman, Maria Weston",1
"Hall, Edward B.","May, Samuel",3
"Hall, Robert B.","Denison, Charles Wheeler",1
"Hall, Robert B.","Garrison, William Lloyd",2
"Hallock, N.","Garrison, William Lloyd",1
"Hamilton, Edward.","Garrison, William Lloyd",1
"Hamilton, John.","Garrison, William Lloyd",1
"Hammond, Charles Goodrich","Garrison, William Lloyd",1
"Hammond, Elisha Livermore","Garrison, William Lloyd",1
"Hanaford, Phebe A.","Garrison, William Lloyd",1
"Harlow, Thomas S.","Garrison, William Lloyd",1
"Harris, Edward","Garrison, William Lloyd",1
"Harris, Edward","Weston, Anne Warren",1
"Harris, George","Garrison, William Lloyd",1
"Haskell, A. L.","Chapman, Maria Weston",1
"Haskell, A. L.","Garrison, William Lloyd",1
"Haskell, William Garrison.","Garrison, William Lloyd",1
"Haskell, William O.","Garrison, William Lloyd",1
"Hassall, Robert.","Garrison, William Lloyd",1
"Hatch, Benjamin F.","Garrison, William Lloyd",1
"Haughton, James","Chapman, Maria Weston",4
"Haughton, James","Garrison, William Lloyd",2
"Haughton, James","May, Samuel",3
"Haughton, James","Webb, Richard Davis",1
"Haughton, Samuel.","Garrison, William Lloyd",2
"Haughton, Sarah C.","Chapman, Maria Weston",1
"Haven, Gilbert","Garrison, William Lloyd",1
"Hayden, Harriet W.","Chapman, Maria Weston",2
"Hayden, Harriet W.","Garrison, William Lloyd",1
"Hayden, Lewis","Chapman, Maria Weston",1
"Haynes, John C.","Garrison, William Lloyd",1
"Hayward, Susan W.","Chapman, Maria Weston",1
"Healy, Joseph","Garrison, William Lloyd",1
"Heaton, Nathan.","Garrison, William Lloyd",1
"Helper, Hinton Rowan","Garrison, William Lloyd",2
"Henderson, D. C.","Garrison, William Lloyd",1
"Henson, Josiah","Eliot, Samuel Atkins",1
"Herndon, William Henry","Garrison, William Lloyd",6
"Hesse, Augustus","Weston, Anne Warren",1
"Hesse, Augustus","Weston, Deborah",25
"Higgins, J. A.","Garrison, William Lloyd",1
"Higginson, Thomas Wentworth","Chapman, Maria Weston",1
"Higginson, Thomas Wentworth","Cole, Miriam M.",1
"Higginson, Thomas Wentworth","Garrison, William Lloyd",12
"Higginson, Thomas Wentworth","Weston, Anne Warren",2
"Hilditch, Sarah.","Chapman, Maria Weston",2
"Hildreth, Richard","Chapman, Maria Weston",1
"Hildreth, Richard","Weston, Caroline",2
"Hill, Alonzo","May, Samuel",1
"Hill, Frank Harrison","Garrison, William Lloyd",1
"Hill, Hamilton","Garrison, William Lloyd",2
"Hill, Hamilton Andrews","Garrison, William Lloyd",1
"Hill, Samuel L.","Garrison, William Lloyd",1
"Hills, William Henry.","Garrison, William Lloyd",1
"Hilton, John Telemachus","Garrison, William Lloyd",1
"Hilton, John.","Garrison, William Lloyd",1
"Hinckly, Francis.","Garrison, William Lloyd",1
"Hincks, H.",Weston,1
"Hinkley, M. C.","Garrison, William Lloyd",1
"Hinton, Richard J.","Garrison, William Lloyd",1
"Hitchcock, Jane Elizabeth","Chapman, Maria Weston",2
"Hoag, Enoch","Garrison, William Lloyd",1
"Hoar, E. R.","Garrison, William Lloyd",1
"Hoar, George Frisbie","Garrison, William Lloyd",2
"Hodges, Charles E.","Garrison, William Lloyd",2
"Hodgson, W. B.","Garrison, William Lloyd",1
"Hoey, James.","Cullen, Matthew.",1
"Holley, Sallie","Garrison, William Lloyd",1
"Holley, Sallie","Weston, Anne Warren",1
"Hollins, Annie Neill.","Garrison, William Lloyd",2
"Hollis, Mary Penniman","Garrison, William Lloyd",1
"Holly, Joseph C.","Garrison, William Lloyd",1
"Holyoake, George Jacob","Garrison, William Lloyd",1
"Hooper, Ellen Sturgis.","Chapman, Maria Weston",1
"Hopkins, Richard.","Garrison, William Lloyd",1
"Hopper, Anna M.","Chapman, Maria Weston",1
"Hopper, Edward","Garrison, William Lloyd",1
"Hopper, Isaac T.","Garrison, William Lloyd",5
"Hopper, John","Garrison, William Lloyd",1
"Hopper, Rosalie DeWolf.","Garrison, William Lloyd",2
"Horton, Jacob","Garrison, William Lloyd",1
"Horton, Martha A.","Garrison, William Lloyd",1
"Hoskin, John.","Garrison, William Lloyd",1
"Hossack, John","Garrison, William Lloyd",1
"Hovey, Charles F.","May, Samuel",1
"Howard, Charles H.","Garrison, William Lloyd",1
"Howard, Hope.","Plumley, Benjamin Rush",1
"Howe, S. G.","Chapman, Maria Weston",1
"Howe, S. G.","Weston, Anne Warren",2
"Howitt, Mary Botham","Chapman, Maria Weston",1
"Howland, Joseph A.","May, Samuel",2
"Howorth, Franklin.","May, Samuel",1
"Hughes, S. F.","Garrison, William Lloyd",1
"Huidekoper, Elizabeth G.","Garrison, William Lloyd",1
"Humphrey, Heman","Coffin, Joshua",1
"Hunt, Samuel","Garrison, William Lloyd",2
"Hunt, Seth.","Garrison, William Lloyd",1
"Hutson, W. Ferguson.","Garrison, William Lloyd",1
"Hutton, Joseph","May, Samuel",3
"Ingersoll, Henrietta Crosby.","Garrison, William Lloyd",1
"Jackson, Edmund","Garrison, William Lloyd",1
"Jackson, Francis","May, Samuel",5
"Jackson, George.","Garrison, William Lloyd",1
"Jacob, John J.","Weston, Anne Warren",1
"Jacobs, Louise.","Garrison, William Lloyd",1
"James, William.","Chapman, Maria Weston",2
"James, William.","Garrison, William Lloyd",2
"James, William.","May, Samuel",5
"Japhet, J. M.","Garrison, William Lloyd",1
"Jarvis, Lydia G.","Garrison, William Lloyd",1
"Jay, William","Sewall, Samuel E.",1
"Jay, William","Tappan, Lewis",1
"Jennings, Isabel.","Chapman, Maria Weston",12
"Jennings, Isabel.","Weston, Anne Warren",4
"Jennings, Jane.","Chapman, Maria Weston",5
"Johnson, Mary Ann White","Chapman, Maria Weston",2
"Johnson, Oliver","Chapman, Maria Weston",25
"Johnson, Oliver","Garrison, Francis Jackson",1
"Johnson, Oliver","Garrison, William Lloyd",30
"Johnson, Oliver","May, Samuel",9
"Johnson, Oliver","Weston, Caroline",1
"Johnson, Samuel","Garrison, William Lloyd",3
"Johnson, Samuel","Weston, Anne Warren",2
"Jones, Benjamin S.","Garrison, William Lloyd",1
"Jones, Benjamin Smith","Chapman, Maria Weston",2
"Jones, J. Elizabeth","Weston, Anne Warren",1
"Jones, Silva W.","Chapman, Maria Weston",1
"Jones, Silva W.","Weston, Anne Warren",1
"Joy, Charlotte Austin.","Chapman, Maria Weston",5
"Joy, Charlotte Austin.","Garrison, William Lloyd",1
"Kell, Edmund","May, Samuel",1
"Kenny, Mary P.","Chapman, Maria Weston",3
"Kenrick, John","Coffin, Joshua",1
"Kimber, Abby","Chapman, Maria Weston",1
"Kimber, Martha.","Weston, Anne Warren",1
"Knibb, William","Borthwick, P.",1
"Knight, Anne.","Chapman, Maria Weston",6
Ladies of Perth.,"Chapman, Maria Weston",1
"Lamartine, Alphonse de","Chapman, Maria Weston",1
"Landt, Margaret H.","Weston, Deborah",2
Latimer.,"Chapman, Maria Weston",1
"Laugel, Elizabeth Bates Chapman","Weston, Deborah",1
"Laugel, Elizabeth Bates Chapman","Weston, Emma Forbes",1
"Laugel, Leonce.","Weston, Deborah",1
"Lecomte, Floreska.","Chapman, Maria Weston",2
"Lewis, Edmonia.","Chapman, Maria Weston",3
"Lewis, Enoch.","Garrison, William Lloyd",2
"Lewis, Evan.","Coffin, Joshua",1
"Lewis, Jarvis.","Chapman, Maria Weston",1
"Lewis, Jarvis.","Garrison, William Lloyd",1
"Lewis, Seth.","Channing, William Ellery",1
"Lincoln, Elizabeth W.","Chapman, Maria Weston",1
"Linton, Mahlon B.","Garrison, William Lloyd",1
"Little, Sophia L.","Chapman, Maria Weston",1
"Livermore, Elizabeth A.","Chapman, Maria Weston",1
"Livermore, Mary Ashton Rice","Garrison, William Lloyd",1
"Locke, Jane E.","Chapman, Maria Weston",1
"Logan, William","Garrison, William Lloyd",1
"Longfellow, Samuel","Chapman, Maria Weston",1
"Longfellow, Samuel","Weston, Anne Warren",1
"Loring, Anna.","Chapman, Maria Weston",1
"Loring, Benjamin.","Chapman, Maria Weston",1
"Loring, C. W.","Weston, Anne Warren",1
"Loring, Ellis Gray","Chapman, Maria Weston",2
"Loring, Ellis Gray","Child, Lydia Maria",1
"Loring, Ellis Gray","Weston, Anne Warren",1
"Loring, Ellis Gray","Weston, Caroline",3
"Loring, Louisa Gilman","Chapman, Maria Weston",1
"Lothrop, Samuel Kirkland","May, Samuel",1
"Love, Alfred H.","Garrison, William Lloyd",2
"Lupton, Elizabeth.",Weston,1
"Lupton, Harriet.","Chapman, Maria Weston",1
"Lupton, Harriet.","Garrison, William Lloyd",1
"Lupton, Joseph.","Chapman, Maria Weston",4
"Lupton, Joseph.","Estlin, J. B.",1
"Lupton, Joseph.","Garrison, William Lloyd",3
"Lupton, Joseph.","May, Samuel",9
"Lyman, Theodore","Everett, Oliver",1
M. W. C.,"Phillips, Wendell",1
"M'Kim, J. Miller","Chapman, Maria Weston",21
"M'Kim, J. Miller","Garrison, William Lloyd",9
"M'Kim, J. Miller","Stearns, Geo. L.",1
"M'Kim, J. Miller",Weston,4
"M'Kim, J. Miller","Weston, Caroline",2
"Macaulay, Zachary","Denison, Charles Wheeler",1
"Macaulay, Zachary","Whitmorae, Wiiliam Wolryche",1
"Macmillan, Sarah N.","Weston, Anne Warren",1
"MacPhail, Jane M.","Weston, Anne Warren",2
"MacQueen, James","Hunt, Benjamin P.",1
"Macy, Aaron Cyrus.","Garrison, William Lloyd",1
"Madden, Richard Robert","Chapman, Maria Weston",1
"Magill, Edward H.","Garrison, William Lloyd",1
"Magill, Jonathan P.","Burleigh, Charles C.",1
"Magill, Jonathan P.","Garrison, William Lloyd",1
"Mandell, Abby Osgood","Chapman, Maria Weston",1
"Mandell, Abby Osgood","Weston, Deborah",1
"Mannix, Mary.","Chapman, Maria Weston",1
"Marsh, R. V.","Garrison, William Lloyd",1
"Marshall, Emma","Chapman, Maria Weston",1
"Marshall, Theodoria.","Garrison, William Lloyd",1
"Martin, Henry William","Sikes, Thomas",1
"Martineau, Harriet","Garrison, William Lloyd",2
"Martineau, Robert F.","Garrison, William Lloyd",1
"Massie, Isabella.",Weston,1
"Massie, Isabella.","Weston, Caroline",1
"Mawson, Elizabeth Swan.","Garrison, William Lloyd",2
"Mawson, John","Garrison, William Lloyd",2
"May, Abby W.","Chapman, Maria Weston",1
"May, Abby W.",Weston,1
"May, Elizabeth G.","Ford, Worthington Chauncey",2
"May, Mary Goddard","Chapman, Maria Weston",1
"May, Samuel","Armstrong, George",1
"May, Samuel","Brown, J.",1
"May, Samuel","Burleigh, Charles C.",46
"May, Samuel","Carpenter, Mary",19
"May, Samuel","Carter, H. W.",1
"May, Samuel","Channing, W. H.",1
"May, Samuel","Chapman, Maria Weston",23
"May, Samuel","Davis, George T.",1
"May, Samuel","Estlin, J. B.",41
"May, Samuel","Foster, Daniel",4
"May, Samuel","Gannett, Ezra S.",1
"May, Samuel","Garrison, William Lloyd",20
"May, Samuel","Gibbons, Abby Hopper",1
"May, Samuel","Hall, Edward B.",3
"May, Samuel","Howland, Joseph A.",1
"May, Samuel","Hudson, Charles",2
"May, Samuel","Hutton, Joseph",1
"May, Samuel","Jackson, Francis",1
"May, Samuel","Longfellow, Henry Wadsworth",1
