commodity,measure,year,price
wax,pound,1621,16
chickpeas,boisseau,1621,12
best wheat,quarteranche,1622,35
good wheat,quarteranche,1622,30
mixed grain,quarteranche,1622,23
rye,quarteranche,1622,20
barley,boisseau,1622,13
oats,boisseau,1622,9
hempseed,boisseau,1622,24
peas,boisseau,1622,28
beans,boisseau,1622,20
lentils,boisseau,1622,20
rapeseed,boisseau,1622,30
Dijon best wine,queue,1622,1080
village best wine,queue,1622,660
village good wine,queue,1622,560
walnut oil,pint,1622,16
rapeseed oil,pint,1622,14
hempseed oil,pint,1622,13
wax,pound,1622,16
chickpeas,boisseau,1622,14
best wheat,quarteranche,1623,22.5
good wheat,quarteranche,1623,19
mixed grain,quarteranche,1623,15
rye,quarteranche,1623,13
barley,boisseau,1623,10
oats,boisseau,1623,8
hempseed,boisseau,1623,25
peas,boisseau,1623,22.5
beans,boisseau,1623,18
lentils,boisseau,1623,18
rapeseed,boisseau,1623,36
Dijon best wine,queue,1623,780
village best wine,queue,1623,540
village good wine,queue,1623,440
walnut oil,pint,1623,16
rapeseed oil,pint,1623,18
hempseed oil,pint,1623,18
wax,pound,1623,15
chickpeas,boisseau,1623,12
best wheat,quarteranche,1624,22.5
good wheat,quarteranche,1624,20
mixed grain,quarteranche,1624,16
rye,quarteranche,1624,14
barley,boisseau,1624,8.5
oats,boisseau,1624,7
hempseed,boisseau,1624,20
peas,boisseau,1624,22
beans,boisseau,1624,18
lentils,boisseau,1624,16
rapeseed,boisseau,1624,40
Dijon best wine,queue,1624,560
village best wine,queue,1624,400
village good wine,queue,1624,320
walnut oil,pint,1624,16
rapeseed oil,pint,1624,16
hempseed oil,pint,1624,14
wax,pound,1624,16
chickpeas,boisseau,1624,12
best wheat,quarteranche,1625,25
good wheat,quarteranche,1625,21
mixed grain,quarteranche,1625,16
rye,quarteranche,1625,14
barley,boisseau,1625,9
oats,boisseau,1625,7
hempseed,boisseau,1625,27.5
peas,boisseau,1625,22
beans,boisseau,1625,16
lentils,boisseau,1625,16
rapeseed,boisseau,1625,35
Dijon best wine,queue,1625,720
village best wine,queue,1625,500
village good wine,queue,1625,400
walnut oil,pint,1625,18
rapeseed oil,pint,1625,16
hempseed oil,pint,1625,16
wax,pound,1625,16
chickpeas,boisseau,1625,12
best wheat,quarteranche,1626,33
good wheat,quarteranche,1626,28
mixed grain,quarteranche,1626,24
rye,quarteranche,1626,19
barley,boisseau,1626,13
oats,boisseau,1626,9
hempseed,boisseau,1626,22
peas,boisseau,1626,28
beans,boisseau,1626,18
lentils,boisseau,1626,20
rapeseed,boisseau,1626,40
Dijon best wine,queue,1626,960
village best wine,queue,1626,720
village good wine,queue,1626,600
walnut oil,pint,1626,18
rapeseed oil,pint,1626,15
hempseed oil,pint,1626,15
wax,pound,1626,16
chickpeas,boisseau,1626,15
best wheat,quarteranche,1627,34
good wheat,quarteranche,1627,20
mixed grain,quarteranche,1627,24
rye,quarteranche,1627,22.5
barley,boisseau,1627,16
oats,boisseau,1627,10
hempseed,boisseau,1627,30
peas,boisseau,1627,30
beans,boisseau,1627,20
lentils,boisseau,1627,20
rapeseed,boisseau,1627,34
Dijon best wine,queue,1627,680
village best wine,queue,1627,460
village good wine,queue,1627,360
walnut oil,pint,1627,16
rapeseed oil,pint,1627,15
hempseed oil,pint,1627,14
wax,pound,1627,16
chickpeas,boisseau,1627,15
best wheat,quarteranche,1628,40
good wheat,quarteranche,1628,35
mixed grain,quarteranche,1628,30
rye,quarteranche,1628,25
barley,boisseau,1628,18
oats,boisseau,1628,9
hempseed,boisseau,1628,20
peas,boisseau,1628,40
beans,boisseau,1628,24
lentils,boisseau,1628,35
rapeseed,boisseau,1628,40
Dijon best wine,queue,1628,1440
village best wine,queue,1628,960
village good wine,queue,1628,720
walnut oil,pint,1628,16
rapeseed oil,pint,1628,16
hempseed oil,pint,1628,12
wax,pound,1628,16
chickpeas,boisseau,1628,18
best wheat,quarteranche,1629,40
good wheat,quarteranche,1629,35
mixed grain,quarteranche,1629,30
rye,quarteranche,1629,26
barley,boisseau,1629,16
oats,boisseau,1629,9
hempseed,boisseau,1629,20
peas,boisseau,1629,35
beans,boisseau,1629,20
lentils,boisseau,1629,22
rapeseed,boisseau,1629,35
Dijon best wine,queue,1629,540
village best wine,queue,1629,360
village good wine,queue,1629,320
walnut oil,pint,1629,16
rapeseed oil,pint,1629,16
hempseed oil,pint,1629,12
wax,pound,1629,16
chickpeas,boisseau,1629,16
best wheat,quarteranche,1630,66
good wheat,quarteranche,1630,60
mixed grain,quarteranche,1630,55
rye,quarteranche,1630,50
barley,boisseau,1630,35
oats,boisseau,1630,18
hempseed,boisseau,1630,40
peas,boisseau,1630,60
beans,boisseau,1630,40
lentils,boisseau,1630,40
rapeseed,boisseau,1630,60
Dijon best wine,queue,1630,400
village best wine,queue,1630,280
village good wine,queue,1630,210
walnut oil,pint,1630,18
rapeseed oil,pint,1630,18
hempseed oil,pint,1630,20
wax,pound,1630,18
chickpeas,boisseau,1630,35
