GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,area_sq_km,population_total,population_nonwhite_free,population_nonwhite_free_female,population_nonwhite_free_male,population_nonwhite_slave,population_nonwhite_slave_female,population_nonwhite_slave_male,population_urban_over_2500,population_urban_over_25000,population_white_free,population_white_free_female,population_white_free_male,nativity_born_out_of_country,nativity_born_out_of_state,farms_land_improved,farms_land_unimproved,farms_total,farms_value_farms,farms_value_tools,livestock_horses,livestock_milk_cows,livestock_mules,livestock_other_cattle,livestock_oxen,livestock_pigs,livestock_sheep,crops_barley,crops_beeswax_honey,crops_buckwheat,crops_butter,crops_cane_molasses,crops_cane_sugar,crops_cheese,crops_clover_seed,crops_dew_hemp,crops_flax,crops_flaxseed,crops_ginned_cotton,crops_grass_seed,crops_hay,crops_hops,crops_indian_corn,crops_irish_potatoes,crops_maple_molasses,crops_maple_sugar,crops_oats,crops_peas_beans,crops_rice,crops_rye,crops_silk_cocoon,crops_sweet_potatoes,crops_tobacco,crops_water_hemp,crops_wheat,crops_wine,crops_wool,learning_academies_other,learning_colleges,learning_public_schools,learning_pupils_academies_other,learning_pupils_colleges,learning_pupils_public_schools,learning_teachers_academies_others,learning_teachers_college,learning_teachers_public_schools,students_foreign_born,students_free_colored,students_free_colored_female,students_free_colored_male,students_free_white,students_free_white_female,students_free_white_male,students_native,churches_baptist,churches_christian,churches_moravian,churches_congregational,churches_dutch_reformed,churches_episcopal,churches_free,churches_german_reformed,churches_jewish,churches_lutheran,churches_mennonite,churches_methodist,churches_minor_sects,churches_presbyterian,churches_protestant,churches_quakers,churches_roman_catholic,churches_swedenborgian,churches_tunker,churches_union,churches_unitarian,churches_universalist,births_free,births_slave,births_total,marriages_total,deaths_free,deaths_slave,sex_female,sex_male,age_00_to_01,age_01_to_04,age_05_to_09,age_10_to_14,age_15_to_19,age_20_to_29,age_30_to_39,age_40_to_49,age_50_to_59,age_60_to_69,age_70_to_79,age_80_to_89,age_90_to_99,age_over_100,age_unknown,sexage_female_00_to_01,sexage_female_01_to_04,sexage_female_05_to_09,sexage_female_10_to_14,sexage_female_15_to_19,sexage_female_20_to_29,sexage_female_30_to_39,sexage_female_40_to_49,sexage_female_50_to_59,sexage_female_60_to_69,sexage_female_70_to_79,sexage_female_80_to_89,sexage_female_90_to_99,sexage_female_over_100,sexage_female_unknown,sexage_male_00_to_01,sexage_male_01_to_04,sexage_male_05_to_09,sexage_male_10_to_14,sexage_male_15_to_19,sexage_male_20_to_29,sexage_male_30_to_39,sexage_male_40_to_49,sexage_male_50_to_59,sexage_male_60_to_69,sexage_male_70_to_79,sexage_male_80_to_89,sexage_male_90_to_99,sexage_male_over_100,sexage_male_unknown,dwellings_total,transport_rail,transport_water
G0100250,1850,Alabama,10,Clarke,250,Clarke,3244.14316287485,9786,9,3,6,4876,2426,2450,0,0,4901,2336,2565,49,1250,47927,163126,456,675460,69859,2058,5617,595,9972,1234,32352,5961,0,37112,0,52447,2000,35,474,0,0,0,0,4881,0,9,0,329061,3246,0,0,20936,9872,31117,107,0,105875,801,0,159,0,8954,1,0,29,100,566,4,29,0,0,0,0,0,0,682,333,349,682,10,0,NA,NA,NA,0,0,NA,NA,0,NA,10,0,1,NA,NA,0,NA,NA,0,0,0,182,108,290,NA,107,91,4765,5021,290,1339,1361,1274,1170,1694,1119,708,439,258,81,38,12,3,0,133,642,666,618,592,822,541,344,211,127,40,22,6,1,0,157,697,695,656,578,872,578,364,228,131,41,16,6,2,0,873,0,1
G0100310,1850,Alabama,10,Coffee,310,Coffee,2661.16702233403,5940,3,2,1,557,299,258,0,0,5380,2593,2787,9,2503,24820,36433,604,232001,30042,1054,4063,112,11885,716,20266,2744,20,19394,0,24543,6953,3,916,0,0,0,0,1408,0,0,0,136610,88,0,0,6014,9251,65863,22,0,51359,785,0,1731,70,4120,0,0,17,0,290,0,17,0,0,0,0,0,0,712,303,409,712,11,0,NA,NA,NA,0,0,NA,NA,0,NA,11,0,1,NA,NA,0,NA,NA,0,0,0,203,13,216,NA,62,4,2894,3046,216,904,1047,849,660,925,546,370,243,118,39,14,4,1,4,103,433,504,424,331,457,273,176,101,59,21,6,3,1,2,113,471,543,425,329,468,273,194,142,59,18,8,1,0,2,893,0,0
G0100350,1850,Alabama,10,Conecuh,350,Conecuh,3881.22711343458,9322,3,1,2,4394,2247,2147,0,0,4925,2444,2481,31,1381,55076,94615,498,426965,55781,1264,4507,729,12396,962,23853,5815,0,14356,0,35920,397,1,1075,0,0,0,0,4628,0,0,0,300210,1397,0,0,26360,13721,75970,48,150,90375,0,0,2031,0,11137,2,0,20,80,400,4,20,0,0,0,0,0,0,810,362,448,810,11,0,NA,NA,NA,0,1,NA,NA,0,NA,10,0,0,NA,NA,0,NA,NA,0,0,0,139,140,279,NA,56,67,4692,4630,279,1499,1544,1181,1036,1560,881,619,400,208,83,26,5,1,0,142,745,798,593,524,801,437,302,189,100,43,16,1,1,0,137,754,746,588,512,759,444,317,211,108,40,10,4,0,0,847,0,1
G0100370,1850,Alabama,10,Coosa,370,Coosa,2361.92355014199,14543,9,3,6,4120,2095,2025,0,0,10414,5056,5358,87,5469,67081,161822,1130,819211,81499,2230,4785,668,9130,1410,31301,8101,0,29657,0,113190,0,0,0,0,0,0,0,5524,0,2160,0,418991,360,0,0,38798,18062,137,26,0,126233,30,0,1700,0,13131,5,0,19,150,381,8,19,0,0,0,0,0,0,1696,922,774,1696,31,0,NA,NA,NA,0,0,NA,NA,0,NA,29,0,1,NA,NA,0,NA,NA,0,0,0,337,146,483,NA,46,25,7154,7389,483,2333,2500,1922,1506,2384,1431,988,630,249,87,26,3,1,0,241,1177,1262,922,774,1183,691,460,266,112,47,17,2,0,0,242,1156,1238,1000,732,1201,740,528,364,137,40,9,1,1,0,1725,0,0
G0100390,1850,Alabama,10,Covington,390,Covington,3065.92738557239,3645,88,41,47,480,257,223,0,0,3077,1566,1511,7,1121,9201,17901,138,90751,18846,781,4124,43,5900,593,18272,1306,0,7449,0,17944,859,0,551,0,0,0,0,416,0,0,0,80205,53,0,0,1854,2982,37798,66,0,38789,170,0,178,0,2540,0,0,7,0,144,0,7,0,0,0,3,0,3,298,138,160,301,5,0,NA,NA,NA,0,0,NA,NA,0,NA,4,0,0,NA,NA,0,NA,NA,0,0,0,130,16,146,NA,32,3,1864,1781,146,563,626,527,379,541,344,255,133,72,44,14,1,0,0,68,287,331,288,190,296,161,121,60,32,23,7,0,0,0,78,276,295,239,189,245,183,134,73,40,21,7,1,0,0,503,0,1
G0100450,1850,Alabama,10,Dale,450,Dale,2456.79774048564,6382,3,1,2,757,385,372,0,0,5622,2695,2927,6,2959,33565,68344,697,291522,47540,1289,3927,158,5483,771,26320,3057,1,19187,0,26809,9986,0,65,0,0,0,0,2158,0,0,0,182396,704,0,0,12167,17416,68950,38,0,69408,505,0,3917,0,6512,0,0,8,0,190,0,8,0,0,0,0,0,0,762,355,407,762,16,1,NA,NA,NA,0,0,NA,NA,0,NA,11,0,0,NA,NA,0,NA,NA,0,0,1,208,23,231,NA,38,4,3081,3301,230,999,1090,925,691,1047,597,379,245,114,47,15,0,3,0,98,471,545,447,344,544,279,183,97,47,18,6,0,2,0,132,528,545,478,347,503,318,196,148,67,29,9,0,1,0,928,0,0
G0100470,1850,Alabama,10,Dallas,470,Dallas,2443.44659987626,29727,8,5,3,22258,11008,11250,3073,0,7461,3616,3845,63,2847,205616,371973,749,3902668,369856,3813,5706,4076,11301,1367,64660,12024,80,18634,0,112368,2520,0,0,0,0,0,0,35275,0,6467,0,1267011,9672,0,0,106525,63847,123750,845,0,227298,0,0,5127,0,21493,26,0,41,724,1039,27,41,0,0,0,0,0,0,1603,733,870,1603,16,0,NA,NA,NA,3,1,NA,NA,0,NA,12,0,13,NA,NA,0,NA,NA,0,0,0,178,497,675,NA,89,406,14629,15098,675,4170,4267,3419,3656,5634,3743,2106,1121,670,203,39,16,7,1,347,2117,2102,1694,1877,2747,1766,1007,514,323,102,20,8,5,0,328,2053,2165,1725,1779,2887,1977,1099,607,347,101,19,8,2,1,1375,0,1
G0100490,1850,Alabama,10,DeKalb,490,Dekalb,2559.42517800117,8245,9,5,4,506,263,243,0,0,7730,3859,3871,6,4088,31972,47034,616,464967,30945,2088,2726,243,5154,708,24910,3750,0,7606,1,71260,0,0,3225,1,0,2141,15,260,38,45,0,363225,6062,1,10,75550,5487,1524,148,0,34377,6457,0,3830,0,7182,1,0,22,55,510,1,22,0,0,0,0,0,0,1347,670,677,1347,11,1,NA,NA,NA,0,0,NA,NA,0,NA,10,0,0,NA,NA,0,NA,NA,0,0,0,280,17,297,NA,59,7,4127,4118,293,1243,1429,1206,1028,1241,773,521,291,130,68,14,7,1,0,145,611,715,601,520,668,385,265,116,60,33,4,3,1,0,148,632,714,605,508,573,388,256,175,70,35,10,4,0,0,1251,0,0
G0100570,1850,Alabama,10,Fayette,570,Fayette,2423.77574901983,9681,9,6,3,1221,629,592,0,0,8451,4092,4359,18,3266,46641,99789,1065,409649,60705,2106,4200,279,7012,1268,9790,7068,0,27030,0,86820,284,2000,652,0,0,0,0,2920,0,753,0,326844,1474,0,0,24865,8990,16001,65,0,65931,5120,0,2473,0,15539,0,0,38,0,689,0,38,0,0,0,0,0,0,1266,544,722,1266,15,1,NA,NA,NA,0,0,NA,NA,0,NA,24,0,2,NA,NA,0,NA,NA,0,0,0,247,38,285,NA,88,15,4727,4954,284,1421,1642,1423,1174,1621,909,585,327,206,66,17,5,1,0,122,692,789,684,612,798,448,303,153,87,29,8,2,0,0,162,729,853,739,562,823,461,282,174,119,37,9,3,1,0,1408,0,0
G0100590,1850,Alabama,10,Franklin,590,Franklin,3102.93864953472,19610,15,4,11,8197,4031,4166,0,0,11398,5524,5874,77,4106,105461,296370,913,2196209,158408,3700,4580,1484,8545,1700,50075,10176,1465,910,0,33242,0,0,245,0,0,0,0,15045,0,0,0,892891,10189,0,0,95556,54813,357,697,0,69708,765,0,6130,0,20809,4,1,27,238,716,9,27,5,102,0,0,0,0,1194,514,680,1194,12,0,NA,NA,NA,0,0,NA,NA,0,NA,17,0,4,NA,NA,0,NA,NA,0,0,0,276,148,424,NA,67,59,9559,10051,423,2831,2995,2807,2396,3481,2004,1289,773,441,115,45,7,3,0,219,1381,1426,1368,1237,1764,960,607,325,200,47,21,3,1,0,204,1450,1569,1439,1159,1717,1044,682,448,241,68,24,4,2,0,1955,0,0
